wbType,wbParent,wbParentStart,wbLevel,wbStatus,wbExceptionType,wbFinalExec,wbStart,wbDurationSec,wbDurationHrs,wbHandleError,message,level,wbPath,wbKey,configError,optionalInfo
Init,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:08,0.8613315,0.000239535444444444,Failed,Work Block Init successful,Info,MainTask|Init|FirstRunTask|Init,18808101c73729dbd0a8e3411c1ab5bb,False,No info
GetData,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:09,0.8947318,0.000248826638888889,Failed,Transaction Number 1. Work Block GetData successful,Info,MainTask|Init|FirstRunTask|GetData,6b6981433cf284de91842ed3ca8ce839,False,No info
ProcessApps,Process,03/01/2018 16:23:10,4,Successful,,True,03/01/2018 16:23:10,1.3288226,0.000369395361111111,Rethrow,"TransactionNumber 1, RetryNumber 0. Work Block ProcessApps successful",Info,MainTask|Init|FirstRunTask|Process|ProcessApps,d00b0e8ca76bbd48f9de8560e7d447f2,False,No info
Process,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:10,2.1620333,0.000600564805555556,Failed,Transaction Number 1. Work Block Process successful,Info,MainTask|Init|FirstRunTask|Process,4b1e2e61c4392721180a6723818f5fb0,False,No info
GetData,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:12,0.3170114,8.80587222222222E-05,Failed,Transaction Number 2. Work Block GetData successful,Info,MainTask|Init|FirstRunTask|GetData,0e4e65ebe8f004d5183aa2dd436b061d,False,No info
ProcessApps,Process,03/01/2018 16:23:12,4,Successful,,True,03/01/2018 16:23:12,0.9088392,0.000252733222222222,Rethrow,"TransactionNumber 2, RetryNumber 0. Work Block ProcessApps successful",Info,MainTask|Init|FirstRunTask|Process|ProcessApps,f653bd19e8188a9cbbfe712bfd78e186,False,No info
Process,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:12,1.3214671,0.000367351972222222,Failed,Transaction Number 2. Work Block Process successful,Info,MainTask|Init|FirstRunTask|Process,83a9639e9a19f859691c7437148b4305,False,No info
GetData,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:13,0.3300018,9.16671666666667E-05,Failed,Transaction Number 3. Work Block GetData successful,Info,MainTask|Init|FirstRunTask|GetData,0bf0a3d9986736f1fcede3e80299cc4b,False,No info
ProcessApps,Process,03/01/2018 16:23:14,4,Successful,,True,03/01/2018 16:23:14,0.7218798,0.000200799388888889,Rethrow,"TransactionNumber 3, RetryNumber 0. Work Block ProcessApps successful",Info,MainTask|Init|FirstRunTask|Process|ProcessApps,ead9d0ca03b512a0b2f0d948d394aa68,False,No info
Process,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:14,1.1329765,0.000314715694444444,Failed,Transaction Number 3. Work Block Process successful,Info,MainTask|Init|FirstRunTask|Process,f15317a41007251bc9ba2fd1d665c79b,False,No info
GetData,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:15,0.3343355,9.28709722222222E-05,Failed,Transaction Number 4. Work Block GetData successful,Info,MainTask|Init|FirstRunTask|GetData,627b6e5a97a728231d71ee20c9840aa4,False,No info
ProcessApps,Process,03/01/2018 16:23:15,4,Successful,,True,03/01/2018 16:23:15,0.6366614,0.000176850388888889,Rethrow,"TransactionNumber 4, RetryNumber 0. Work Block ProcessApps successful",Info,MainTask|Init|FirstRunTask|Process|ProcessApps,17abca596e68e7d494ee8f5dba4425b2,False,No info
Process,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:15,1.042465,0.000289573611111111,Failed,Transaction Number 4. Work Block Process successful,Info,MainTask|Init|FirstRunTask|Process,675d117fc8bfe91a4854c205f8f2321a,False,No info
GetData,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:16,0.3300339,9.19543611111111E-05,Failed,Transaction Number 5. Work Block GetData successful,Info,MainTask|Init|FirstRunTask|GetData,28fe89033a0c4bd38803f1375579c277,False,No info
ProcessApps,Process,03/01/2018 16:23:17,4,Successful,,True,03/01/2018 16:23:17,0.7790793,0.000217522444444444,Rethrow,"TransactionNumber 5, RetryNumber 0. Work Block ProcessApps successful",Info,MainTask|Init|FirstRunTask|Process|ProcessApps,37c6b798427912510786a1c5594657b7,False,No info
Process,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:17,1.2110784,0.000336688472222222,Failed,Transaction Number 5. Work Block Process successful,Info,MainTask|Init|FirstRunTask|Process,5e3b6e2f7cb1d2c866a5a29e6a7bca59,False,No info
GetData,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:18,0.3387397,9.40943611111111E-05,Failed,Transaction Number 6. Work Block GetData successful,Info,MainTask|Init|FirstRunTask|GetData,6351b1ccdcd7e1750d3c3e49baf9c4ab,False,No info
ProcessApps,Process,03/01/2018 16:23:18,4,Successful,,True,03/01/2018 16:23:18,0.7028399,0.000195233305555556,Rethrow,"TransactionNumber 6, RetryNumber 0. Work Block ProcessApps successful",Info,MainTask|Init|FirstRunTask|Process|ProcessApps,8c66bda3b7b646f405c28288d24a89ff,False,No info
Process,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:18,1.0779066,0.000299695972222222,Failed,Transaction Number 6. Work Block Process successful,Info,MainTask|Init|FirstRunTask|Process,6723533823ae201d243b3883451ec71b,False,No info
GetData,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:19,0.3210002,8.94444166666667E-05,Failed,Transaction Number 7. Work Block GetData successful,Info,MainTask|Init|FirstRunTask|GetData,9328e6676b3cc8537605a7a8de120bae,False,No info
ProcessApps,Process,03/01/2018 16:23:20,4,Successful,,True,03/01/2018 16:23:20,0.7970797,0.000221689194444444,Rethrow,"TransactionNumber 7, RetryNumber 0. Work Block ProcessApps successful",Info,MainTask|Init|FirstRunTask|Process|ProcessApps,15c00c85bd64c2e7730a96bcb73def39,False,No info
Process,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:20,1.1881474,0.000330040944444444,Failed,Transaction Number 7. Work Block Process successful,Info,MainTask|Init|FirstRunTask|Process,5372effb5f9c5019bc57dfcd1d53f987,False,No info
GetData,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:21,0.3180625,8.86284722222222E-05,Failed,Transaction Number 8. Work Block GetData successful,Info,MainTask|Init|FirstRunTask|GetData,4a40826ab3a2108c6027be0cb0d2c243,False,No info
ProcessApps,Process,03/01/2018 16:23:21,4,Successful,,True,03/01/2018 16:23:21,0.6217316,0.000172980111111111,Rethrow,"TransactionNumber 8, RetryNumber 0. Work Block ProcessApps successful",Info,MainTask|Init|FirstRunTask|Process|ProcessApps,399e5647af165d5a2081afb202de6138,False,No info
Process,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:21,1.0444163,0.00029039325,Failed,Transaction Number 8. Work Block Process successful,Info,MainTask|Init|FirstRunTask|Process,f2fb33033cfa53d20e84253addbb1e74,False,No info
GetData,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:22,0.3290035,9.16675555555556E-05,Failed,Transaction Number 9. Work Block GetData successful,Info,MainTask|Init|FirstRunTask|GetData,67b7cd6d959fd357cfec51a0199d0f84,False,No info
ProcessApps,Process,03/01/2018 16:23:23,4,Successful,,True,03/01/2018 16:23:23,0.7010056,0.000194723777777778,Rethrow,"TransactionNumber 9, RetryNumber 0. Work Block ProcessApps successful",Info,MainTask|Init|FirstRunTask|Process|ProcessApps,b43b9d9f4056249284c18761644314bd,False,No info
Process,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:23,1.1139768,0.000309715888888889,Failed,Transaction Number 9. Work Block Process successful,Info,MainTask|Init|FirstRunTask|Process,e11681369e43848c12714086a16564b2,False,No info
GetData,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:24,0.3427056,9.5196E-05,Failed,Transaction Number 10. Work Block GetData successful,Info,MainTask|Init|FirstRunTask|GetData,3d1d634020002515e7d23b13bc3022dc,False,No info
ProcessApps,Process,03/01/2018 16:23:24,4,Successful,,True,03/01/2018 16:23:24,1.0942768,0.000304243861111111,Rethrow,"TransactionNumber 10, RetryNumber 0. Work Block ProcessApps successful",Info,MainTask|Init|FirstRunTask|Process|ProcessApps,60e849b4dd00c3450259b6f8e79d55e3,False,No info
Process,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:24,1.5183065,0.000421751805555556,Failed,Transaction Number 10. Work Block Process successful,Info,MainTask|Init|FirstRunTask|Process,fc94a3988a625d7e057e0094f7395a26,False,No info
GetData,FirstRunTask,03/01/2018 16:23:07,3,Successful,,True,03/01/2018 16:23:26,0.3331482,9.25411666666667E-05,Failed,Transaction Number 11. Work Block GetData successful,Info,MainTask|Init|FirstRunTask|GetData,eca91110e9820f9816f72bd6ac402609,False,No info
ProcessApps,Process,03/01/2018 16:23:26,4,Successful,,True,03/01/2018 16:23:26,0.8866765,0.000246567694444444,Rethrow,"TransactionNumber 11, RetryNumber 0. Work Block ProcessApps successful",Info,MainTask|Init|FirstRunTask|Process|ProcessApps,f9ddb1860c7c020850e923b3e3962bde,False,No info
